Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-08-15,7291.15234375,7314.08049577437,7245.2960397012575,7291.15234375,81411000
2022-08-16,7314.08056640625,7314.08056640625,7199.439805177311,7291.152414160462,83556700
2022-08-18,7337.00927734375,7359.937431335449,7222.368507385254,7245.296661376953,86136900
2022-08-19,7245.29638671875,7382.865305453916,7245.29638671875,7382.865305453916,58194900
2022-08-22,7337.00927734375,7337.00927734375,7176.5121994018555,7199.440353393555,97293300
2022-08-23,7245.29638671875,7337.008999208861,7245.29638671875,7337.008999208861,71671800
2022-08-24,7291.15234375,7359.936799823113,7245.2960397012575,7291.15234375,108892400
2022-08-25,7405.79345703125,7428.721610148994,7245.296385207043,7337.008997678018,99503500
2022-08-26,7337.00927734375,7451.650047302246,7337.00927734375,7359.937431335449,80472400
2022-08-29,7474.57861328125,7474.57861328125,7291.1533712375385,7337.009681748466,57762100
2022-08-30,7497.505859375,7589.218469275612,7405.793249474388,7428.721401949541,124467000
2022-08-31,7520.43408203125,7543.36223472037,7382.865165896533,7405.793318585652,137659900
2022-09-01,7474.57861328125,7566.291234303107,7451.650458025786,7474.57861328125,74960800
2022-09-02,7543.36279296875,7543.36279296875,7474.57832981098,7474.57832981098,71430600
2022-09-05,7589.21826171875,7612.146413566843,7520.433806174471,7543.361958022564,62906000
2022-09-06,7589.21826171875,7658.002717263029,7566.290109870657,7612.146413566843,67079900
2022-09-07,7680.93115234375,7680.93115234375,7566.290388875933,7566.290388875933,117931700
2022-09-08,7658.00341796875,7795.572341644835,7658.00341796875,7703.859725860778,132777400
2022-09-09,7680.93115234375,7795.571915811567,7589.218541569497,7795.571915811567,91234600
2022-09-12,7680.93115234375,7726.787457730877,7635.074846956623,7635.074846956623,52395300
2022-09-13,7818.50048828125,7864.356796130407,7680.931564733779,7680.931564733779,124485200
2022-09-14,7795.5712890625,7933.140194163603,7680.93053481158,7680.93053481158,116642400
2022-09-15,8024.8544921875,8139.495270647321,7795.572935267857,7795.572935267857,190404800
2022-09-16,7749.71630859375,8001.926010944435,7749.71630859375,7978.997856185281,363127600
2022-09-19,7933.14111328125,8024.853727307623,7749.715885228504,7772.644038735098,102530600
2022-09-20,7841.42822265625,7933.140833447552,7841.42822265625,7841.42822265625,89238400
2022-09-21,7772.64306640625,7887.283819598082,7726.786765129516,7818.499367682983,90933700
2022-09-22,7772.64306640625,7818.499367682983,7680.930463852784,7680.930463852784,61908500
2022-09-23,7680.93115234375,7772.643763118004,7680.93115234375,7680.93115234375,60567600
2022-09-26,7726.787109375,7795.571564354599,7520.433744436202,7520.433744436202,106228200
2022-09-27,7612.146484375,7749.715396743223,7612.146484375,7680.930940559112,89567100
2022-09-28,7635.0751953125,7726.787810271208,7566.290734093468,7566.290734093468,89153400
2022-09-29,7680.93115234375,7749.7156104244405,7635.074846956623,7635.074846956623,62643700
2022-09-30,7841.42822265625,7864.356375354076,7589.218542980172,7680.931153771473,176524800
2022-10-03,7795.5712890625,7818.499439912684,7749.714987362132,7749.714987362132,115079600
2022-10-04,7841.42822265625,7910.212680749726,7818.500069958425,7818.500069958425,80524500
2022-10-05,7749.71630859375,7841.4289276303625,7726.788153834597,7818.50077287121,63788000
2022-10-06,7726.787109375,7795.571564354599,7726.787109375,7772.643412694733,43967400
2022-10-07,7520.43408203125,7680.931150855088,7520.43408203125,7635.074845476849,112043400
2022-10-10,7612.146484375,7680.930940559112,7451.649419945406,7474.577572006778,80238200
2022-10-11,7566.2900390625,7612.146342329545,7474.577432528409,7520.433735795455,64060000
2022-10-12,7635.0751953125,7635.0751953125,7497.506272874437,7520.434426614113,47569700
2022-10-13,7589.21826171875,7680.930869111122,7589.21826171875,7589.21826171875,62282800
2022-10-14,7566.2900390625,7658.002645596591,7566.2900390625,7612.146342329545,70642900
2022-10-17,7566.2900390625,7612.146342329545,7497.505584161932,7566.2900390625,56387500
2022-10-18,7612.146484375,7772.643548804594,7566.290180252259,7589.21833231363,85665300
2022-10-19,7589.21826171875,7658.002717263029,7543.361958022564,7566.290109870657,66753500
2022-10-20,7795.5712890625,7795.5712890625,7566.289780560662,7566.289780560662,91812300
2022-10-21,7933.14111328125,8001.92557380103,7749.715885228504,7749.715885228504,122777800
2022-10-24,8162.421875,8162.421875,8001.9248156601125,8024.852966994383,89416500
2022-10-25,7978.9970703125,8139.494137818786,7978.9970703125,8093.63783281699,84696300
2022-10-26,7841.42822265625,7933.140833447552,7841.42822265625,7910.212680749726,98962100
2022-10-27,7978.9970703125,7978.9970703125,7841.428155307112,7841.428155307112,77003400
2022-10-28,8024.8544921875,8024.8544921875,7933.141869419643,7933.141869419643,84980600
2022-10-31,8070.7099609375,8116.566267533736,8047.781807639382,8116.566267533736,138922800
2022-11-01,8070.7099609375,8254.135187322443,8001.925501043146,8254.135187322443,118118400
2022-11-02,8024.8544921875,8093.638959263393,8001.926336495536,8070.710803571429,68323600
2022-11-03,8070.7099609375,8093.638114235618,7978.9973477450285,7978.9973477450285,81856300
